latitude,longitude,restaurant count,num stalls
45.617499783128075,-73.60601127147675,18,11
45.516926210319546,-73.56425732374191,602,14
45.54154850456526,-73.56501236557959,100,11
45.506175841460966,-73.71118605136871,29,19
45.5129938566323,-73.68249848484993,89,19
45.51473429416659,-73.69144901633263,89,15
45.52234149817879,-73.72167885303497,27,15
45.566869345371856,-73.64101678133011,31,15
45.54813638885782,-73.62434014678001,150,13
45.44791581215845,-73.58381867408752,31,19
45.51293324107222,-73.63389015197754,23,23
45.42947143740888,-73.59309915918857,8,23
45.52331869398737,-73.52012693881989,32,29
45.53368199320325,-73.51526074111462,58,15
45.53722603812578,-73.49506705999374,29,18
45.52841043752244,-73.51716578006744,50,10
45.46714,-73.54259,18,29
45.55321884238814,-73.53978216648102,82,22
45.56493679334249,-73.5555911064148,12,23
45.5057209331225,-73.62945914268494,84,27
45.51016276368593,-73.55663707494385,711,32
45.52689,-73.57264,360,29
45.65140583915357,-73.50041270256041,28,15
45.6062348,-73.6287838,27,18
45.50714391928411,-73.55511903762817,705,15
45.5063732,-73.52457672,14,19
45.52156536710626,-73.53533238172531,6,21
45.45750908083069,-73.6394852399826,17,24
45.47256100297732,-73.56998920440674,108,17
45.605901731906485,-73.53436946868896,20,13
45.43914465255811,-73.59173655509949,4,15
45.471881993586074,-73.64002168178558,33,22
45.5534000891078,-73.66225451231003,70,13
45.57414703721992,-73.57462137937546,41,21
45.59722114932571,-73.56279015541077,61,19
45.55984236120471,-73.61544728279114,40,33
45.554946972033726,-73.55529472231865,35,21
45.56833021674857,-73.56666326522826,16,22
45.43656827071224,-73.70836973190308,0,19
45.43805550384184,-73.67273926734924,29,19
45.45682318753668,-73.546804189682,4,14
45.489185716082275,-73.57190027832984,452,20
45.52252484113786,-73.69143962860107,52,22
45.50897852206792,-73.69856357574463,22,25
45.50403766981151,-73.70444297790526,39,23
45.490494421832885,-73.63852232694626,141,15
45.531943590076395,-73.71360540390015,23,12
45.48049514330605,-73.57782661914825,200,24
45.4912258547597,-73.58763009309769,386,22
45.59398503487043,-73.63767206668854,36,21
