station ids,latitude,longitude,free bikes,empty slots,total bikes
72bfd647b3d2b650546f42319729757d,45.617499783128075,-73.60601127147675,0,11,11
36c6491aa1b52e5ef7005f984738de27,45.516926210319546,-73.56425732374191,2,12,14
30f081e03c42b3e7b3a5c4cd5acc3286,45.54154850456526,-73.56501236557959,5,6,11
8db822a266b5ccb3a1e323ddc8721d62,45.506175841460966,-73.71118605136871,8,11,19
660275cd7d4368cc7590f1606c633bd6,45.5129938566323,-73.68249848484993,8,11,19
fddada5adc997290212b3f540c017274,45.51473429416659,-73.69144901633263,2,13,15
83d02cd8a043b8305a4031063005d32e,45.52234149817879,-73.72167885303497,6,9,15
888e6052f1aebab8d8a527776b3499b6,45.566869345371856,-73.64101678133011,6,9,15
3f191c8f95dbf309762b54dbb656522b,45.54813638885782,-73.62434014678001,4,9,13
f3e8bbaffc3930bc19681467b42595cf,45.44791581215845,-73.58381867408752,15,4,19
1ffa6ec805ef0a7803b86fa6bef5c1af,45.51293324107222,-73.63389015197754,9,14,23
65fcf6251f8e1caef9d4ec19d3c37f64,45.42947143740888,-73.59309915918857,3,20,23
17a401a4d9de7e987b12cbc5686cadc2,45.52331869398737,-73.52012693881989,10,19,29
6832a18f263cc93c01c71013a19baa8f,45.53368199320325,-73.51526074111462,6,9,15
04840a5047543df6a5ff4f78ccc64a04,45.53722603812578,-73.49506705999374,12,6,18
2a20aa1c87cc30a2968fe04fe4e5b0df,45.52841043752244,-73.51716578006744,4,6,10
734e36f9bfc759c9c5b1b9b44a85966e,45.46714,-73.54259,15,14,29
65f5707d61306518123222b4680bc282,45.55321884238814,-73.53978216648102,1,21,22
66bb98a5d35f74c7cc6f5951b7c78e4f,45.56493679334249,-73.5555911064148,8,15,23
a7671fb398de9ac6bd6bc552b5323b7a,45.5057209331225,-73.62945914268494,10,17,27
b2dd9e0ffd50946d9c569a4684613fb4,45.51016276368593,-73.55663707494385,8,24,32
0e58810dea9e4869279089cb8576642f,45.52689,-73.57264,9,20,29
5f87ab3bfe9c4289033da69a74957d0e,45.65140583915357,-73.50041270256041,10,5,15
23f1b244e618444f565f402a81c585d6,45.6062348,-73.6287838,8,10,18
3cc8af25d891cb13e3301e4a612d0383,45.50714391928411,-73.55511903762817,5,10,15
517c47dab7563036263420e5eb1526a6,45.5063732,-73.52457672,4,15,19
4c422c0fa82a3c9954a411ba87f52901,45.52156536710626,-73.53533238172531,14,7,21
dbe6f3be853e1100918aa06b6418eb86,45.45750908083069,-73.6394852399826,21,3,24
d45cc49cea4480b9116b1363dcc5355d,45.47256100297732,-73.56998920440674,5,12,17
bfbe27bd89264f5821d6d0c7f0d2e765,45.605901731906485,-73.53436946868896,3,10,13
3dee6dd50b00ebe97be68a34fa0c1590,45.43914465255811,-73.59173655509949,5,10,15
9f8b5a5097e54b755691624a27a320a0,45.471881993586074,-73.64002168178558,9,13,22
eeda0f4010f34ca2199f3585a76fef66,45.5534000891078,-73.66225451231003,7,6,13
1f96d87b02f5ddf8831c2d5f2473b0a8,45.57414703721992,-73.57462137937546,18,3,21
9575da078eee4b025a4c319fc2347b0d,45.59722114932571,-73.56279015541077,4,15,19
8140fc3c3486abf913b0bd9211926f2b,45.55984236120471,-73.61544728279114,25,8,33
4ca484362e90a5ba3932b459d9bc7471,45.554946972033726,-73.55529472231865,8,13,21
1461a02f003268b78a89d6ad0ac551dd,45.56833021674857,-73.56666326522826,13,9,22
cebdd81cd194840f09e6c07f1f7198a4,45.43656827071224,-73.70836973190308,4,15,19
0217b73736addb107209816f03000a18,45.43805550384184,-73.67273926734924,9,10,19
6866c654a6dbffa8186d1495a5ebea63,45.45682318753668,-73.546804189682,0,14,14
ff85c138d884da9a4540f32b12086338,45.489185716082275,-73.57190027832984,6,14,20
2203b1d78848ffe20d0ed9d29d7dce2e,45.52252484113786,-73.69143962860107,7,15,22
f6b224af771e55d8ded0206097c994c0,45.50897852206792,-73.69856357574463,5,20,25
4ba6d2380cf60f68cac3b2558a60c0d8,45.50403766981151,-73.70444297790526,9,14,23
ce9dbfc9842d2eff631cf5898df68683,45.490494421832885,-73.63852232694626,9,6,15
389a103b106275a594cb7caafbf34e27,45.531943590076395,-73.71360540390015,11,1,12
567cbde732fdd0fb13d545dd1b5e963c,45.480495143306044,-73.57782661914825,18,6,24
4249917b3ff262f4cd831f8ea34cf74e,45.4912258547597,-73.58763009309769,8,14,22
3557bec6e2c20690d2c912e713edad35,45.59398503487043,-73.63767206668854,2,19,21
